id,name,organism,type,topic,description,url,paper,tags,free
1,BIEN,plants,Database,distribution,"Occurrences, inventories, traits, and phylogenies of plants from the New World.",https://bien.nceas.ucsb.edu/bien/,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12861,"plants,phylogeny,New World",true
2,CESTES,multi,Database,traits,"80 datasets of empirical trait-environment relationships from 1996 to 2018.",https://icestes.github.io/,https://www.nature.com/articles/s41597-019-0344-7,"traits,environment,multivariate",true
3,CoRRE Trait Data,plants,Dataset,traits,"17 categorical and continuous traits for 4079 grassland species worldwide.",https://portal.edirepository.org/nis/mapbrowse?packageid=edi.1533.3,https://www.nature.com/articles/s41597-024-03637-x,"traits,grasslands,global",true
4,FRED,plants,Database,traits,"Fine-root functional traits organized in a common framework.",https://roots.ornl.gov/,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.14486,"roots,soil,functional",true
5,FungalRoot,fungi,Database,symbiosis,"Global database of plant mycorrhizal associations including colonization intensity.",https://www.gbif.org/dataset/744edc21-8dd2-474e-8a0b-b8c3d56a3c2d,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.16569,"mycorrhiza,colonization,roots",true
6,GloBI,multi,Database,interactions,"Open access to biotic interaction data: predator-prey, pollinator-plant, parasite-host.",https://www.globalbioticinteractions.org/,https://www.sciencedirect.com/science/article/pii/S1574954114001125,"interactions,networks,predation",true
7,MycoDB,fungi,Database,symbiosis,"Plant biomass responses to mycorrhizal inoculation with meta-analysis metrics.",https://doi.org/10.5061/dryad.723m1,https://www.nature.com/articles/sdata201628,"mycorrhiza,biomass,meta-analysis",true
8,Open Traits Network,multi,Dataset,traits,"Standardizes and integrates trait data across all organisms.",https://opentraits.org/datasets.html,,"traits,integration,all organisms",true
9,PLANTS Database,plants,Database,taxonomy,"Vascular plants, mosses, and lichens of the U.S. and territories.",https://plants.usda.gov/home,,"taxonomy,USA,flora",true
10,Seed Information Database,plants,Database,traits,"Global compilation of seed biological trait data.",https://ser-sid.org/,,"seeds,traits,reproduction",true
11,TRY,plants,Database,traits,"Global database of curated plant traits. One of the most widely used in functional ecology.",https://www.try-db.org/TryWeb/Home.php,https://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.2011.02451.x,"traits,functional ecology,global",true
12,Global Aridity Index,env,Database,climate,"Global aridity index and potential evapotranspiration at high spatial resolution (v2).",https://figshare.com/articles/dataset/Global_Aridity_Index_and_Potential_Evapotranspiration_ET0_Climate_Database_v2/7504448/6,,"aridity,evapotranspiration,raster",true
13,WorldClim,env,Database,climate,"High-resolution global climate data with bioclimatic variables for niche modeling.",https://www.worldclim.org,,"climate,bioclimatic,niche modeling",true
14,GBIF,multi,Database,biodiversity,"Global platform with free access to species occurrence records.",https://www.gbif.org/,,"occurrences,biodiversity,global",true
15,BioTIME,multi,Database,biodiversity,"Global database of time series of assemblages to quantify biodiversity change.",https://biotime.st-andrews.ac.uk/,,"time series,change,assemblages",true
16,Web of Life,multi,Database,interactions,"Ecological network database: pollination, herbivory, host-parasite interactions.",https://www.web-of-life.es/,,"networks,pollination,herbivory",true
17,GenBank,multi,Database,genetics,"NIH genetic sequence database covering all organisms.",https://www.ncbi.nlm.nih.gov/genbank/,,"DNA,sequences,bioinformatics",true
18,Movebank,animals,Database,movement,"Global repository of animal movement and migration data with visualization tools.",https://www.movebank.org/cms/movebank-main,,"telemetry,migration,wildlife",true
19,eBird,animals,Database,biodiversity,"Global bird observation database maintained by Cornell Lab. API and downloadable data.",https://ebird.org/home,,"birds,citizen science,ornithology",true
20,GloNAF,plants,Database,invasions,"Naturalized alien plant species lists by region. Key for biological invasion studies.",https://glonaf.org/,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2542,"invasive,naturalization,flora",true
21,POWO,plants,Database,taxonomy,"Taxonomy, distribution, traits, and uses of vascular plants worldwide (Kew).",https://powo.science.kew.org/,,"taxonomy,Kew,distribution",true
22,InvaCost,multi,Database,invasions,"Global estimation of the economic cost of biological invasions per species.",https://invacost.fr/en/accueil/,https://www.nature.com/articles/s41597-020-00586-z,"invasions,economics,policy",true
23,KNB,multi,Dataset,repository,"International repository for ecological and environmental research data (NSF 1998).",https://knb.ecoinformatics.org/data,,"repository,NSF,open access",true
24,EDI,multi,Dataset,repository,"Environmental data following FAIR principles for accessibility and reusability.",https://portal.edirepository.org/nis/home.jsp,,"FAIR,repository,reusable",true
25,NEON,multi,Dataset,monitoring,"Network of U.S. field sites with standardized terrestrial and aquatic ecological data (NSF).",https://data.neonscience.org/data-products/explore,,"monitoring,USA,terrestrial",true
26,MammalBase,animals,Database,traits,"Traits, measurements, and diets of mammal species for macroecology and paleontology.",https://www.mammalbase.net/mb,,"mammals,diet,macroecology",true
